iter	Passed	Remaining
0	16	22267
1	31	21047
2	47	21399
3	62	21112
4	76	20728
5	90	20440
6	105	20319
7	120	20200
8	138	20725
9	161	21753
10	188	22976
11	203	22767
12	219	22677
13	245	23545
14	261	23385
15	276	23152
16	291	22912
17	305	22669
18	319	22472
19	333	22240
20	352	22349
21	372	22530
22	388	22485
23	402	22313
24	417	22172
25	438	22397
26	461	22663
27	475	22541
28	490	22398
29	504	22273
30	518	22146
31	533	22038
32	548	21942
33	569	22107
34	584	22038
35	599	21951
36	613	21848
37	628	21752
38	643	21705
39	662	21749
40	676	21678
41	691	21593
42	705	21520
43	720	21437
44	734	21361
45	748	21282
46	762	21217
47	780	21247
48	796	21225
49	811	21174
50	826	21103
51	840	21041
52	859	21093
53	874	21061
54	890	21029
55	905	20990
56	920	20947
57	935	20908
58	953	20925
59	969	20908
60	986	20907
61	1005	20957
62	1020	20916
63	1038	20934
64	1056	20942
65	1081	21108
66	1104	21220
67	1125	21288
68	1145	21329
69	1166	21398
70	1190	21512
71	1227	21858
72	1248	21906
73	1264	21868
74	1279	21814
75	1299	21860
76	1315	21820
77	1330	21765
78	1345	21719
79	1360	21670
80	1375	21613
81	1390	21563
82	1409	21585
83	1424	21538
84	1439	21490
85	1453	21432
86	1467	21374
87	1482	21321
88	1496	21268
89	1515	21291
90	1531	21253
91	1546	21208
92	1560	21154
93	1574	21104
94	1588	21055
95	1608	21078
96	1624	21047
97	1638	20997
98	1652	20951
99	1667	20904
100	1682	20870
101	1697	20830
102	1711	20788
103	1731	20807
104	1746	20778
105	1761	20738
106	1775	20696
107	1791	20670
108	1810	20683
109	1826	20651
110	1840	20607
111	1855	20571
112	1870	20537
113	1884	20499
114	1898	20453
115	1913	20419
116	1928	20384
117	1949	20415
118	1964	20388
119	1979	20353
120	1994	20327
121	2015	20350
122	2031	20326
123	2045	20293
124	2060	20254
125	2074	20215
126	2088	20181
127	2103	20148
128	2117	20112
129	2132	20078
130	2147	20046
131	2168	20076
132	2184	20051
133	2200	20033
134	2222	20069
135	2238	20045
136	2253	20019
137	2268	19986
138	2282	19950
139	2296	19915
140	2310	19876
141	2325	19844
142	2338	19806
143	2355	19789
144	2374	19795
145	2389	19774
146	2405	19752
147	2425	19765
148	2440	19739
149	2456	19716
150	2471	19690
151	2487	19671
152	2502	19639
153	2516	19611
154	2531	19584
155	2545	19546
156	2561	19530
157	2581	19540
158	2596	19517
159	2615	19516
160	2633	19516
161	2648	19486
162	2663	19458
163	2677	19430
164	2692	19403
165	2707	19377
166	2722	19348
167	2736	19321
168	2750	19289
169	2766	19270
170	2788	19288
171	2803	19266
172	2818	19241
173	2836	19238
174	2852	19215
175	2867	19189
176	2882	19165
177	2896	19135
178	2910	19106
179	2925	19079
180	2939	19047
181	2953	19021
182	2970	19005
183	2989	19010
184	3007	19004
185	3025	18998
186	3043	18992
187	3058	18971
188	3075	18954
189	3090	18934
190	3105	18912
191	3120	18886
192	3135	18862
193	3150	18837
194	3164	18808
195	3182	18804
196	3199	18788
197	3213	18763
198	3228	18739
199	3244	18721
200	3264	18727
201	3281	18711
202	3296	18691
203	3311	18669
204	3327	18648
205	3342	18627
206	3357	18602
207	3372	18579
208	3387	18560
209	3405	18553
210	3421	18535
211	3439	18527
212	3454	18505
213	3470	18487
214	3484	18459
215	3499	18436
216	3513	18412
217	3528	18385
218	3543	18362
219	3558	18342
220	3572	18313
221	3587	18291
222	3608	18302
223	3623	18280
224	3637	18254
225	3660	18270
226	3676	18253
227	3691	18230
228	3706	18209
229	3722	18189
230	3736	18163
231	3749	18134
232	3764	18110
233	3779	18088
234	3796	18076
235	3812	18062
236	3826	18036
237	3846	18037
238	3865	18034
239	3881	18017
240	3897	18000
241	3912	17977
242	3926	17952
243	3942	17933
244	3957	17912
245	3972	17891
246	3987	17870
247	4004	17858
248	4022	17849
249	4036	17824
250	4051	17805
251	4070	17801
252	4085	17780
253	4099	17754
254	4113	17729
255	4127	17704
256	4141	17676
257	4155	17654
258	4170	17630
259	4186	17614
260	4201	17595
261	4220	17590
262	4237	17577
263	4254	17565
264	4269	17545
265	4291	17551
266	4308	17539
267	4323	17518
268	4338	17500
269	4353	17479
270	4367	17452
271	4383	17437
272	4399	17419
273	4413	17396
274	4431	17385
275	4448	17375
276	4467	17371
277	4484	17358
278	4501	17342
279	4517	17327
280	4532	17308
281	4550	17298
282	4569	17291
283	4584	17274
284	4599	17253
285	4614	17231
286	4628	17207
287	4650	17213
288	4691	17288
289	4715	17302
290	4731	17285
291	4747	17267
292	4762	17245
293	4777	17223
294	4792	17203
295	4807	17183
296	4825	17175
297	4843	17164
298	4858	17144
299	4874	17125
300	4888	17101
301	4909	17101
302	4925	17085
303	4940	17065
304	4955	17044
305	4969	17020
306	4984	16999
307	4998	16975
308	5012	16951
309	5028	16935
310	5047	16929
311	5063	16909
312	5077	16886
313	5090	16861
314	5104	16837
315	5123	16828
316	5139	16813
317	5154	16792
318	5168	16770
319	5183	16747
320	5198	16728
321	5212	16705
322	5226	16682
323	5246	16677
324	5262	16660
325	5277	16641
326	5291	16619
327	5306	16599
328	5320	16576
329	5341	16575
330	5357	16558
331	5374	16544
332	5391	16529
333	5405	16508
334	5420	16489
335	5440	16482
336	5456	16466
337	5471	16446
338	5485	16424
339	5500	16403
340	5515	16384
341	5529	16363
342	5546	16348
343	5564	16337
344	5581	16323
345	5597	16306
346	5613	16289
347	5628	16270
348	5645	16257
349	5664	16248
350	5680	16231
351	5695	16211
352	5710	16192
353	5724	16170
354	5738	16148
355	5755	16134
356	5770	16115
357	5785	16095
358	5800	16076
359	5814	16055
360	5829	16034
361	5844	16016
362	5864	16010
363	5879	15992
364	5894	15972
365	5908	15950
366	5922	15928
367	5936	15905
368	5950	15883
369	5969	15876
370	5984	15855
371	5998	15835
372	6013	15815
373	6028	15795
374	6042	15774
375	6062	15768
376	6078	15752
377	6093	15733
378	6108	15714
379	6124	15697
380	6139	15679
381	6153	15658
382	6168	15638
383	6189	15636
384	6206	15619
385	6221	15601
386	6236	15582
387	6254	15572
388	6271	15557
389	6285	15537
390	6301	15520
391	6316	15500
392	6330	15479
393	6345	15460
394	6359	15439
395	6376	15426
396	6395	15415
397	6410	15397
398	6425	15378
399	6439	15358
400	6454	15339
401	6475	15334
402	6490	15316
403	6505	15296
404	6520	15278
405	6534	15257
406	6548	15237
407	6563	15217
408	6577	15198
409	6596	15188
410	6612	15172
411	6627	15152
412	6641	15131
413	6656	15114
414	6675	15104
415	6690	15085
416	6704	15065
417	6719	15045
418	6733	15025
419	6747	15006
420	6761	14985
421	6776	14965
422	6796	14957
423	6810	14939
424	6825	14919
425	6839	14898
426	6854	14880
427	6871	14866
428	6888	14851
429	6903	14833
430	6917	14813
431	6931	14793
432	6945	14774
433	6959	14752
434	6973	14732
435	6993	14724
436	7009	14709
437	7024	14691
438	7039	14671
439	7053	14651
440	7073	14644
441	7089	14628
442	7103	14608
443	7117	14588
444	7131	14568
445	7145	14547
446	7160	14528
447	7174	14509
448	7189	14491
449	7210	14484
450	7225	14467
451	7239	14447
452	7255	14431
453	7274	14420
454	7290	14404
455	7304	14384
456	7318	14365
457	7332	14345
458	7347	14327
459	7362	14308
460	7376	14289
461	7390	14270
462	7406	14252
463	7423	14238
464	7441	14226
465	7456	14209
466	7472	14192
467	7490	14180
468	7505	14163
469	7520	14145
470	7535	14127
471	7549	14107
472	7564	14089
473	7578	14070
474	7593	14052
475	7608	14033
476	7622	14014
477	7643	14007
478	7659	13991
479	7680	13984
480	7696	13969
481	7711	13951
482	7727	13935
483	7741	13916
484	7757	13899
485	7772	13881
486	7787	13863
487	7801	13845
488	7816	13826
489	7834	13814
490	7851	13799
491	7869	13787
492	7886	13773
493	7901	13755
494	7915	13735
495	7930	13717
496	7943	13698
497	7958	13679
498	7972	13660
499	7986	13640
500	8000	13622
501	8015	13603
502	8029	13584
503	8049	13575
504	8065	13559
505	8085	13551
506	8101	13534
507	8116	13517
508	8132	13501
509	8147	13483
510	8162	13465
511	8176	13447
512	8192	13429
513	8206	13410
514	8220	13392
515	8236	13375
516	8252	13359
517	8270	13348
518	8285	13330
519	8306	13321
520	8320	13303
521	8334	13284
522	8349	13266
523	8363	13248
524	8379	13231
525	8393	13213
526	8408	13194
527	8422	13176
528	8436	13157
529	8453	13143
530	8476	13137
531	8492	13122
532	8508	13105
533	8525	13091
534	8539	13072
535	8554	13055
536	8568	13036
537	8583	13019
538	8597	12999
539	8612	12982
540	8627	12964
541	8641	12946
542	8656	12928
543	8675	12917
544	8692	12902
545	8709	12888
546	8725	12873
547	8742	12859
548	8759	12844
549	8776	12829
550	8790	12811
551	8804	12792
552	8820	12775
553	8834	12757
554	8848	12738
555	8865	12724
556	8882	12709
557	8899	12695
558	8918	12683
559	8934	12667
560	8950	12652
561	8965	12634
562	8980	12617
563	8995	12599
564	9010	12583
565	9025	12565
566	9040	12547
567	9054	12529
568	9071	12514
569	9090	12503
570	9108	12490
571	9126	12476
572	9141	12459
573	9156	12442
574	9170	12424
575	9184	12405
576	9199	12388
577	9214	12370
578	9228	12352
579	9242	12334
580	9256	12315
581	9271	12298
582	9292	12288
583	9307	12272
584	9322	12255
585	9343	12245
586	9358	12228
587	9373	12211
588	9388	12194
589	9402	12176
590	9417	12158
591	9432	12141
592	9446	12122
593	9460	12103
594	9476	12088
595	9496	12078
596	9513	12063
597	9532	12051
598	9547	12034
599	9563	12017
600	9577	11999
601	9591	11981
602	9606	11964
603	9622	11947
604	9636	11930
605	9650	11911
606	9664	11893
607	9679	11875
608	9699	11865
609	9714	11847
610	9733	11836
611	9750	11821
612	9764	11803
613	9778	11785
614	9792	11766
615	9807	11750
616	9822	11733
617	9837	11715
618	9851	11697
619	9865	11679
620	9880	11661
621	9901	11652
622	9918	11637
623	9933	11620
624	9953	11609
625	9969	11594
626	9985	11578
627	10000	11561
628	10014	11543
629	10028	11525
630	10043	11508
631	10057	11490
632	10072	11472
633	10088	11457
634	10106	11443
635	10121	11426
636	10142	11415
637	10157	11398
638	10171	11381
639	10186	11364
640	10201	11347
641	10216	11330
642	10231	11313
643	10246	11296
644	10261	11279
645	10275	11261
646	10291	11245
647	10310	11233
648	10327	11218
649	10347	11207
